#,Reaction,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,H2,NH3,(S)-2-Acetolactate,3-Hydroxy-3-methyl-2-oxobutanoic acid,"(R)-2,3-Dihydroxy-3-methylbutanoate",3-Methyl-2-oxobutanoic acid,alpha-Isopropylmalate,2-Isopropylmaleate,"(2R,3S)-3-Isopropylmalate ",2S)-2-Isopropyl-3-oxosuccinate,4-Methyl-2-oxopentanoate,2-Oxoglutarate,L-glutamate,L-Leucine,EC Number,Reference,Notes
,,Input,Input,Input,Input/Output,Input/Output,Intermediate,Intermediate,Input,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
1,1 CO2 + 1 HCO3- + 3 ATP + 1 NADH + 6 Fd → 1 acetyl-CoA,-3,-1,-6,-1,-1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Dicarboxylate/4-hydroxybutyrate (4HB) Cycle,Huber et al. {Huber2008a},
2,2 Fdred + Acetyl-CoA + CO2 → Pyruvate,,,-2,-1,,-1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2.7.1,KEGG R01196,
3,16 ATP + 8 Fdred + N2 → 2 NH3 + 1 H2,-16,0,-8,0,0,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.18.6.1,KEGG,Not sure how often N2ase produces an H2. 
4,1 Pyruvate + 1 Acetyl CoA + 1 ATP + 1 HCO3 → 2-Oxoglutarate + 1 CO2 + 1 NADH,-1,1,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TCA Cycle,,
5,2-Oxoglutarate + 1 NH3 + 1 NADH → 1 L-glutamate + H2O,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,1.4.1.2,KEGG,
6,2 Pyruvate <=> (S)-2-Acetolactate + CO2,0,0,0,1,0,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2.1.6,,
7,(S)-2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1.1.1.86,,
8,"3-Hydroxy-3-methyl-2-oxobutanoic acid + NADPH <=> (R)-2,3-Dihydroxy-3-methylbutanoate",0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1.1.1.86,,
9,"(R)-2,3-Dihydroxy-3-methylbutanoate <=> 3-Methyl-2-oxobutanoic acid",0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,4.2.1.9,,
10,Acetyl-CoA + 3-Methyl-2-oxobutanoic acid <=>   alpha-Isopropylmalate,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,2.3.3.13,,
11,alpha-Isopropylmalate <=> 2-Isopropylmaleate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,4.2.1.33,,
12,"2-Isopropylmaleate <=> (2R,3S)-3-Isopropylmalate ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,4.2.1.33,,
13," (2R,3S)-3-Isopropylmalate <=> (2S)-2-Isopropyl-3-oxosuccinate + NADH",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1.1.1.85,,
14, (2S)-2-Isopropyl-3-oxosuccinate  <=> 4-Methyl-2-oxopentanoate + CO2  ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,spontaneous,,
15, 4-Methyl-2-oxopentanoate + L-Glutamate  <=> L-Leucine + 2-Oxoglutarate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,2.6.1.6,,
