#,Reaction,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,HCO2-,3-PG,N2,NH3,H2,H2O,2-Oxoglutarate,Homocitrate,Homo-cis-aconitate,Homoisocitrate, 2-Oxoadipate,L-Glutamate,L-2-aminoadipate ,L-2-Aminoadipate 6-semialdehyde ,Saccharopine,L-Lysine,EC ,Reference,Notes
,,Input,Input,Input,Input/Output,Input,Intermediate,Intermediate,Input,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
1,6 HCO2- + 10 ATP + 4 NADH → 2 3-PG,-10,-4,,,,,,-6,2,,,,,,,,,,,,,,,,,
2,2 3-PG → 2 pyruvate + 2 ATP ,2,,,,,,2,,-2,,,,,,,,,,,,,,,,,
3,2 pyruvate → 2 acetyl-coA + 2 NADH + 2 CO2,,2,,2,,2,-2,,,,,,,,,,,,,,,,,,,
4,16 ATP + 8 Fdred + N2 → 2 NH3 + 1 H2,-16,,-8,,,,,,,-1,2,1,,,,,,,,,,,,1.18.6.1,KEGG,
5,Pyruvate + 1 Acetyl CoA + 1 ATP + 1 HCO3 → 2-Oxoglutarate + 1 CO2 + 1 NADH,-1,1,,1,-1,-1,-1,,,,,,,1,,,,,,,,,,TCA Cycle,Salimijazi2020b,
6,Acetyl-CoA + H2O + 2-Oxoglutarate → Homocitrate + CoA,,,,,,-1,,,,,,,-1,-1,1,,,,,,,,,2.3.3.14,KEGG,
7,Homocitrate → Homo-cis-aconitate + H2O,,,,,,,,,,,,,1,,-1,1,,,,,,,,4.2.1.-,KEGG,
8,Homo-cis-aconitate + H2O → Homoisocitrate,,,,,,,,,,,,,-1,,,-1,1,,,,,,,4.2.1.36,KEGG,
9,Homoisocitrate + NAD → 2-Oxoadipate + CO2 + NADH + H2,,1,,1,,,,,,,,1,,,,,-1,1,,,,,,1.1.1.87 ,KEGG,
10,2-Oxoglutarate + 1 NH3 + 1 NADH → 1 L-glutamate + H2O,,-1,,,,,,,,,-1,,1,,,,,-1,1,,,,,1.4.1.2,KEGG,
11,2-oxoadipate + L-glutamate → L-2-aminoadipate + 2-oxoglutarate ,,,,,,,,,,,,,,1,,,,-1,-1,1,,,,2.6.1.39,KEGG,
12,L-2-Aminoadipate + NADPH + H2 + ATP → L-2-Aminoadipate 6-semialdehyde + NADP+ + AMP + Diphosphate,-1,-1,-1,,,,,,,,,,,,,,,,,-1,1,,,1.2.1.95,KEGG,
13,L-Glutamate + L-2-Aminoadipate 6-semialdehyde + NADPH + H2 → Saccharopine + NADP+ + H2O,,-1,-1,,,,,,,,,,1,,,,,,-1,,-1,1,,1.5.1.10,KEGG,
14,Saccharopine + NAD+ + H2O → L-Lysine + 2-Oxoglutarate + NADH + H2,,1,,,,,,,,,,,-1,1,,,,,,,,-1,1,1.5.1.7,KEGG,
