# , Reaction ,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,NH3,H2,2-Oxoglutarate,L-Glutamate,Isocitrate,cis-Aconitate,Citrate,Oxaloacetate,L-Aspartate,4-Phospho-L-aspartate,L-aspartate-4-semialdehyde,H2S,L-homocysteine,5-methyltetrahydrofolate,tetrahydrofolate,L-Methionine,TrxOx,TrxRed,Sulfate,Adenylyl-sulfate,3'-Phosphoadenylyl-sulfate,Sulfite,"Adenosine-3',5'-bisphosphate",EC numbers,Reference,Notes
, ,Input,Input,Input,Input/Output,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Input,Intermediate,Intermediate,Intermediate,Intermediate,,,
1,6 HCO3- + 10 ATP + 12 NADH → 2 pyruvate,-10,-12,,,-6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2 pyruvate → 2 acetyl-coA + 2 NADH + 2 CO2,,2,,2,,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16 ATP + 8 Fdred + N2 -> 2 NH3 + 1 H2,-16,,-8,,,,,-1,2,1,,,,,,,,,,,,,,,,,,,,,,1.18.6.1,KEGG,
4,1 Pyruvate + 1 Acetyl-CoA + 1 ATP + 1 HCO3 -> 2-Oxoglutarate + 1 CO2 + 1 NADH,-1,1,,1,-1,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,TCA Cycle,KEGG,
5,2-Oxoglutarate + 1 NH3 + 1 NADH -> 1 L-Glutamate,,-1,,,,,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,1.4.1.2,KEGG,
6,2-Oxoglutarate + CO2 + NADH -> Isocitrate,,-1,,-1,,,,,,,-1,,1,,,,,,,,,,,,,,,,,,,1.1.1.41,KEGG,
7,Isocitrate -> cis-Aconitate,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,4.1.2.3,KEGG,
8,cis-Aconitate -> Citrate,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,4.2.1.3,KEGG,
9,Citrate -> Acetyl-CoA + Oxaloacetate,,,,,,1,,,,,,,,,-1,1,,,,,,,,,,,,,,,,2.3.3.1,KEGG,
10,Oxaloacetate + L-Glutamate -> L-Aspartate + 2-Oxoglutarate,,,,,,,,,,,1,-1,,,,-1,1,,,,,,,,,,,,,,,2.6.1.1,KEGG,
11,ATP + L-Aspartate -> 4-Phospho-L-aspartate,-1,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,2.7.2.4,KEGG,
12,4-Phospho-L-aspartate + NADH -> L-aspartate-4-semialdehyde,,-1,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,1.2.1.11,KEGG,
13,L-aspartate-4-semialdehyde + H2S + 2 Fdred -> L-homocysteine,,,-2,,,,,,,,,,,,,,,,-1,-1,1,,,,,,,,,,,2.8.1.16,KEGG,
14,5-methyltetrahydrofolate + L-homocysteine -> tetrahydrofolate + L-Methionine,,,,,,,,,,,,,,,,,,,,,-1,-1,1,1,,,,,,,,2.1.1.13,KEGG,
15,TrxOx + NADH -> TrxRed,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,1,0,,,,,1.8.1.9,KEGG,
16,ATP + Sulfate -> Adenylyl-sulfate,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,2.7.7.4,KEGG,
17,ATP + Adenylyl-sulfate -> 3'-Phosphoadenylyl-sulfate,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,2.7.1.25,KEGG,
18,"TrxRed + 3'-Phosphoadenylyl-sulfate -> TrxOx + Sulfite + Adenosine-3',5'-bisphosphate",,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0,,-1,1,1,1.8.4.8,KEGG,
19,Sulfite + 3 NADH + -> H2S,,-3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-1,,1.8.1.2,KEGG,
20,"Sulfate + Adenosine-3',5'-bisphosphate -> 3'-Phosphoadenylyl-sulfate",,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,,-1,3.6.2.2,KEGG,
21,tetrahydrofolate -> 5-methyltetrahydrofolate,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,2.1.1.258,KEGG,
