#,Reactions,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,NH3,H2,D-Glyceraldehyde 3-phosphate,Glycerone phosphate,beta-D-Fructose 6-phosphate,"beta-D-Fructose 1,6-bisphosphate",H20,Phosphoenolpyruvate,D-Erythrose 4-phosphate,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,3-Dehydroquinate,3-Dehydroshikimate,Shikimate,Shikimate 3-phosphate,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,Chorismate,Prephenate,Phenylpyruvate,2-Oxoglutarate,L-glutamate,L-Phenyalanine,Reference,EC number,Comments
,,Input,Input,Input,Input/Ouput,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
1,4 CO2 + 4 ATP + 8 NADH → 2 acetyl-CoA,-4,-8,,-4,,2,,,,,,,,,,,,,,,,,,,,,,,,Reductive TCA cycle,"Alissandratos et al. {Alissandratos2015a}, Claassens et al. {Claassens2016a}",
2,2 Fdred + Acetyl-CoA + CO2 -> Pyruvate,,,-2,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,1.2.7.1  ,,
3,6CO2 + 18ATP + 12NADH → 2 D-Glyceraldehyde 3-phosphate,-18,-12,,-6,,,,,,,2,,,,,,,,,,,,,,,,,,,Salimijazi2020b,,
1,16 ATP + 8 Fdred + N2 → 2 NH3 +  H2,-16,,-8,,,,,-1,2,1,,,,,,,,,,,,,,,,,,,,kegg,1.18.6.1,
2,2-Oxoglutarate + 1 NH3 + 1 NADH → 1 L-glutamate,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,1,,kegg,1.4.1.2,
4,D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,Kegg,5.3.1.1,
5,"Glycerone phosphate + D-Glyceraldehyde 3-phosphate <=> beta-D-Fructose 1,6-bisphosphate",,,,,,,,,,,-1,-1,,1,,,,,,,,,,,,,,,,Kegg,4.1.2.13,
6,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",,,,,,,,,,,,,1,-1,-1,,,,,,,,,,,,,,,Kegg,3.1.3.11,
7,ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate,-1,,,,,,-1,,,,,,,,-1,1,,,,,,,,,,,,,,Kegg,2.7.9.2,
8,beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate ,,,,,,,,,,,-1,,-1,,,,1,,,,,,,,,,,,,Kegg,2.2.1.1,
9,Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,,,,,,,,,,,,,,,-1,-1,-1,1,,,,,,,,,,,,Kegg,2.5.1.54,
10,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,Kegg,4.2.3.4,
11,3-Dehydroquinate <=> 3-Dehydroshikimate + H2O,,,,,,,,,,,,,,,1,,,,-1,1,,,,,,,,,,Kegg,4.2.1.10,
12,3-Dehydroshikimate + NADPH + H+ <=> Shikimate ,,-1,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,Kegg,1.1.1.25,
13,ATP + Shikimate <=> ADP + Shikimate 3-phosphate,-1,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,Kegg,2.7.1.71,
14,Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,,,,,,,,,,,,,,,-1,,,,,,-1,1,,,,,,,Kegg,2.5.1.19,
15,5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,Kegg,4.3.2.5,
16,Chorismate <=> Prephenate,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,Kegg,5.4.99.5,
17,Prephenate <=> Phenylpyruvate + H2O + CO2,,,,1,,,,,,,,,,,1,,,,,,,,,,-1,1,,,,Kegg,4.2.1.51,
18,Phenylpyruvate + L-Glutamate <=> L-Phenylalanine + 2-Oxoglutarate,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,-1,1,kegg,2.6.1.57,
