# , Reaction ,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,N2,NH3,H2,D-Glyceraldehyde-3-phosphate,Glycerone-phosphate,"beta-D-Fructose-1,6-bisphosphate",H2O,beta-D-Fructose-6-phosphate,Phosphoenolpyruvate,D-Erythrose-4-phosphate,D-Xylulose-5-phosphate,2-Dehydro-3-deoxy-D-arabino-heptonate-7-phosphate,3-Dehydroquinate,3-Dehydroshikimate,Shikimate,Shikimate-3-phosphate,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,Chorismate,Prephenate,3-(4-Hydroxyphenyl)pyruvate,2-Oxoglutarate,L-Glutamate,Acetate,L-Tyrosine,EC Number,Reference(s),Comment
, ,Input,Input,Input,Input/Output,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
1,1 CO2 + 1 HCO3- + 3 ATP + 1 NADH + 6 Fd → 1 acetyl-CoA,-3,-1,-6,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Dicarboxylate/4-hydroxybutyrate (4HB) Cycle,Huber et al. {Huber2008a},
2,2 Fdred + Acetyl-CoA + CO2 → Pyruvate,,,-2,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,1.2.7.1,KEGG R01196,
3,16 ATP + 8 Fdred + N2 -> 2 NH3 +  H2,-16,,-8,,,,,-1,2,1,,,,,,,,,,,,,,,,,,,,,,1.18.6.1,KEGG,
4,6 CO2 + 18 ATP + 12 NADH -> 2 D-Glyceraldehyde-3-phosphate,-18,-12,,-6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
5,D-Glyceraldehyde-3-phosphate -> Glycerone-phosphate,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,5.3.1.1,KEGG,
6,"Glycerone-phosphate + D-Glyceraldehyde-3-phosphate -> beta-D-Fructose-1,6-bisphosphate",,,,,,,,,,,-1,-1,1,,,,,,,,,,,,,,,,,,,4.1.2.13,KEGG,
7,"beta-D-Fructose-1,6-bisphosphate + H2O -> beta-D-Fructose-6-phosphate",,,,,,,,,,,,,-1,-1,1,,,,,,,,,,,,,,,,,3.1.3.11,KEGG,
8,ATP + Pyruvate + H2O -> Phosphoenolpyruvate,-1,,,,,,-1,,,,,,,-1,,1,,,,,,,,,,,,,,,,2.7.9.1,KEGG,
9,beta-D-Fructose-6-phosphate + D-Glyceraldehyde-3-phosphate -> D-Erythrose-4-phosphate + D-Xylulose-5-phosphate,,,,,,,,,,,-1,,,,-1,,1,1,,,,,,,,,,,,,,2.2.1.1,KEGG,
10,Phosphoenolpyruvate + D-Erythrose-4-phosphate + H2O -> 2-Dehydro-3-deoxy-D-arabino-heptonate-7-phosphate,,,,,,,,,,,,,,-1,,-1,-1,,1,,,,,,,,,,,,,2.5.1.54,KEGG,
11,2-Dehydro-3-deoxy-D-arabino-heptonate-7-phosphate -> 3-Dehydroquinate,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,4.2.3.4, KEGG,
12,3-Dehydroquinate -> 3-Dehydroshikimate + H2O,,,,,,,,,,,,,,1,,,,,,-1,1,,,,,,,,,,,4.2.1.10,KEGG,
13,3-Dehydroshikimate + NADH -> Shikimate,,-1,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,1.1.1.25,KEGG,
14,ATP + Shikimate -> Shikimate-3-phosphate,-1,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,2.7.1.71,KEGG,
15,Phosphoenolpyruvate + Shikimate-3-phosphate -> 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,,,,,,,,,,,,,,,-1,,,,,,,-1,1,,,,,,,,2.5.1.19,KEGG,
16,5-O-(1-Carboxyvinyl)-3-phosphoshikimate -> Chorismate,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,4.2.3.5,KEGG,
17,Chorismate -> Prephenate,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,5.4.99.5,KEGG,
18,Prephenate -> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH,,1,,1,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,1.3.1.12,KEGG,
19,2-Oxoglutarate + 1 NH3 + 1 NADH -> 1 L-Glutamate,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,1,,,2.6.1.1,KEGG,
20,1 Pyruvate + 1 Acetyl-CoA + 1 ATP + 1 HCO3 -> 2-Oxoglutarate + 1 CO2 + 1 NADH,-1,1,,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,1,,,,TCA Cycle,KEGG,
21,3-(4-Hydroxyphenyl)pyruvate + L-Glutamate -> L-Tyrosine + 2-Oxoglutarate,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,-1,,1,2.6.1.1,KEGG,
22,D-Xylulose-5-phosphate -> D-Glyceraldehyde-3-phosphate  + acetate,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,1,,4.1.2.9,KEGG,
23,1 Acetate + 1 ATP → 1 Acetyl-CoA,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-1,,6.2.1.1,KEGG,
