"2-Oxoglutarate",Intermediate
"ATP",Input
"Acetate",Intermediate
"Acetyl-CoA",Intermediate
"CO2",Input/Output
"Carbamoyl-phosphate",Intermediate
"Fdred",Input
"H2",Input/Output
"H2O",Input/Output
"HCO3-",Input
"L-Arginine",Target
"L-Citrulline",Intermediate
"L-Glutamate",Intermediate
"N-Acetyl-L-Citrulline",Intermediate
"N-Acetyl-L-glutamate",Intermediate
"N-Acetyl-glutamate-5-phosphate",Intermediate
"N-Acetyl-glutamate-5-semialdehyde",Intermediate
"N2",Input
"N2-Acetyl-L-Ornithine",Intermediate
"NADH",Input
"NH3",Intermediate
"Pyruvate",Intermediate
