Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
Nickname,Scenario,BargraphLabel,ATPforFuel,NADHforFuel,FdForFuel,energyPerFuelMolecule,molecularWeightFuelMolecule,totalInputPower,totalElectricalPower,stirPower,CO2Method,Mediator,voltageCellTwoAnode,voltageCellTwoAnodeBias,voltageCellTwoCathode,voltageCellTwoCathodeBias,voltageCellTwo,voltageMembrane,vAcceptor,vQuinone,vMtr,dependentVariableScale,independentVariableScale,scaleUpMode
ALA_CBB_H2,,,15,5,3,2.066E-18,89,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
ARG_CBB_H2,,,51,11,16,3.924E-18,174,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
ASN_CBB_H2,,,24,6,7,2.056E-18,132,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
ASP_CBB_H2,,,16,6,3,2.039E-18,133,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Cys_CBB_H2,,,16,4,9,3.504E-18,121,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
GLN_CBB_H2,,,32,9,8,3.077E-18,146,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
GLU_CBB_H2,,,23,8,4,3.059E-18,147,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
GLY_CBB_H2,,,15,3,4,1.08E-18,75,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
ILE_CBB_H2,,,29,15,4,5.177E-18,131,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
LEU_CBB_H2,,,29,15,3,5.177E-18,131,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
LYS_CBB_H2,,,53,20,10,4.854E-18,146,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Met_CBB_H2,,,17,5,11,5.297E-18,149,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
PHE_CBB_H2,,,52,30,4,6.866E-18,165,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
PRO_CBB_H2,,,22,10,3,2.039E-18,115,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
SER_CBB_H2,,,14,5,3,1.806E-18,105,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
THR_CBB_H2,,,22,11,3,2.755E-18,119,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
TRP_CBB_H2,,,69,33,8,7.924E-18,204,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
TYR_CBB_H2,,,36,18,3,6.543E-18,181,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
VAL_CBB_H2,,,22,12,3,4.132E-18,117,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
GLUC_CBB_H2,,,18,12,0,4.65E-18,180.16,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
BUT_CBB_H2,,,14,12,0,4.43E-18,74.12,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
ALA_CBB_EET,,,15,5,3,2.066E-18,89,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
